row_id,service,zone,weight_lbs,packaging,rate_usd,page,source_row,source_data,extraction_method
155,ground,2,24,Your Packaging,35.05,pdf_page_106,18,"['', '24', '19.52', '22.79', '24.37', '28.77', '35.05', '41.31', '48.24']",pdfplumber
156,home_delivery,2,24,FedEx Envelope,19.52,pdf_page_106,18,"['', '24', '19.52', '22.79', '24.37', '28.77', '35.05', '41.31', '48.24']",pdfplumber
157,home_delivery,2,24,FedEx Pak,22.79,pdf_page_106,18,"['', '24', '19.52', '22.79', '24.37', '28.77', '35.05', '41.31', '48.24']",pdfplumber
158,home_delivery,2,24,FedEx Box,24.37,pdf_page_106,18,"['', '24', '19.52', '22.79', '24.37', '28.77', '35.05', '41.31', '48.24']",pdfplumber
159,home_delivery,2,24,FedEx Tube,28.77,pdf_page_106,18,"['', '24', '19.52', '22.79', '24.37', '28.77', '35.05', '41.31', '48.24']",pdfplumber
160,home_delivery,2,24,Your Packaging,35.05,pdf_page_106,18,"['', '24', '19.52', '22.79', '24.37', '28.77', '35.05', '41.31', '48.24']",pdfplumber
161,ground,2,25,FedEx Envelope,19.59,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
162,ground,2,25,FedEx Pak,22.88,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
163,ground,2,25,FedEx Box,24.48,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
164,ground,2,25,FedEx Tube,29.32,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
165,ground,2,25,Your Packaging,36.07,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
166,home_delivery,2,25,FedEx Envelope,19.59,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
167,home_delivery,2,25,FedEx Pak,22.88,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
168,home_delivery,2,25,FedEx Box,24.48,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
169,home_delivery,2,25,FedEx Tube,29.32,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
170,home_delivery,2,25,Your Packaging,36.07,pdf_page_106,19,"['', '25', '19.59', '22.88', '24.48', '29.32', '36.07', '43.59', '49.72']",pdfplumber
